Name,Description,TypeId,Price,PictureUrl
Planters,One of the cool things to 3D print is an abstract planter for your succulents and cacti. Why use traditional planters to hold your plants? There are cool 3D prints out there that don’t allow you to skip the traditional clay pots. These modular little guys are modern and fresh and guaranteed to make your mini-garden more attractive.,2,231,pictures/products/471.jpg
Platform Jack,"While it won’t be holding up a car in a garage any time soon, this platform jack can still withstand a fairly reasonable amount of weight, allowing you access to pesky undersides. 3D print your own platform jack at home for an easy tool that’s great for painting models and other hobbyist tasks.",4,219,pictures/products/519.jpg
Measuring Cube,"Get rid of those 72 measuring spoons from your utensil drawer and replace them all with a single implement! One of the most immediately useful and cool 3D prints in this list, it’ll make for an interesting tool that others will want when they see it.",4,192,pictures/products/527.jpg
Mitre Box,"Mitre boxes are extremely useful when it comes to crafting. In just a few minutes, your 3D printer can spit one out and have you making exact cuts in your crafting projects in no time at all. Just add a blade, and you’re golden.",3,326,pictures/products/570.jpg
USB Holder,USB keys are useful devices—until you misplace them and lose all your precious data. Help prevent this by manufacturing your own desktop device to hold all your various keys! You can 3D print one of the most useful 3D printed objects available for your office.,1,256,pictures/products/620.jpg
Faucet Water Saver,"We all need to do our part in cutting down on our water usage, right? Well, this water-saving attachment for your faucet is super quick to 3D print, a breeze to install, and uses very little material to create!",5,23,pictures/products/623.jpg
Cable Holder,Stop the tyranny of cords taking over your desk and entertainment unit and 3D print some space-saving cable management devices. You’ll cut back on desk clutter and all that cord-related aggravation. These are the blessed 3D printed objects that make life a little less annoying!,2,304,pictures/products/744.jpg
Catapult,Sometimes the office gets boring. Pass the time by constructing these cool things to 3d print: little catapults! Work on your (probably) lacking marksperson skills with these adorable wee “weapons” that can fire small projectiles up to two meters away (perfect for mastering your paper-in-wastebasket game).,1,263,pictures/products/804.jpg
Cutlery,"One of the cool things to 3D print is your own set of cutlery. If you dig camping or just want a convenient set of small cutlery for use at the office or in the cafeteria, you can’t go wrong with this 3D printer design. They’re functional, portable, and take only a short time to create! The best part about this 3D is that they’re completely reusable.",2,205,pictures/products/863.jpg
Keychain Smartphone Stand,"Nearly everyone these days has a smartphone, and we’ve likely all had moments where we wanted to prop up our phones for viewing video or photos and had to resort to piled books or whatever else is on hand. And it rarely works out as well as we hope! That makes this tiny project one of the coolest 3D printed objects on the list. Plus, they look like cats. Cats are good.",2,86,pictures/products/876.jpg
Comb,"Small projects like this are what really make 3D printer designs a delight. Nearly all of us need some form of brush or comb to keep our untamed locks from becoming a tangled mess, and when it’s this simple to create, why not give this 3D print a shot?",2,24,pictures/products/886.jpg
Spirographs,"A perennial childhood favorite, kids love them just as much today. Of course, adults can enjoy these toys, too. They could be just the ticket to break through some creative block!",5,349,pictures/products/930.jpg
Toothpaste Squeezer,Remember that Malcolm in the Middle scene where the family resorted to driving over the toothpaste to get the last little drops out of the tube? Now you can 3D print a device that will make squeezing out every bit of Colgate much easier.,3,170,pictures/products/932.jpg
Bookholder,"This one gets our vote for one of the best 3D printer designs in this list. Bookworms! Want a nice, easy way to keep your pages propped open? Designed with larger books in mind, this tool is delightfully useful.",3,194,pictures/products/942.jpg
Bottle Opener,"Another one of the cool things to 3D print is this awesome tool. With this device, you can open bottles—using only one hand! Keep one or two in your drawer at home, or make a few and keep them on hand as great host gifts.",4,49,pictures/products/955.jpg
Bookmarks,Stop dog-earing those pristine pages! These cool 3D prints allow you to remember exactly where you left off in your mystery novel or adventure yarn. Added bonus: Hedwig greets you every time you come back to reading!,2,247,pictures/products/960.jpg
Wallet,"Today in you can do that?!: wallets made in a 3D printer. Why pay $50 a pop for a leather one when you can create one in your house in an hour, complete with card slots? This is one of those cool things to 3D print that we all could use. In addition, you can 3D print a design that is completely unique to you.",2,175,pictures/products/962.jpg
Business Card,"A truly inspiring 3D printing idea, these pop-out business cards allow you to speak to clients in a way they won’t have experienced many times (if ever) before! Rather than a drab piece of cardboard, hand them a toy they can assemble that speaks much louder than a traditional printed card.",5,141,pictures/products/1000.jpg
Fidget Spinner,"Can’t sit still? Searching for a 3D printer project to help you focus? Look no further. Fidget spinners are an excellent way to occupy your mind, and this 3D printed object will definitely do the trick.",3,36,pictures/products/1039.jpg
